glist01,dd
BBC3,0.0718851454057395
PRICKLE1,0.0718105975195639
EFEMP2,0.071010690375571
DICER1,0.0707918795353138
ZNF264,0.07073291524786
TMEM106C,0.0705526963524535
HSBP1,0.0704634329754352
ZNF726,0.070439525725556
SPI1,0.0702916564209626
CIRBP,0.0700822642328283
C19orf53,0.0700693962770226
RPS29,0.0698776554773203
ISG20,0.0698054499411217
SZT2,0.0697384288854374
OSBPL8,0.0696565999648844
HAS1,0.0694471208495718
PTGS1,0.0693994964424318
TUSC3,0.0693267834298605
PDIA3,0.0691633809530349
LOXL2,0.0690551261790172
CTHRC1,0.0689492238064393
VCAM1,0.0689346815307701
SAMD9L,0.0686467365535122
ATP6V0E1,0.0685364659728397
RFTN2,0.0684924793323065
NME4,0.0683574078228543
MIF,0.0679363515317343
RCN2,0.0679169559509326
EMP3,0.0676770324573023
SCAND1,0.0675875127162193
MEIS1,0.0674984191511553
TCEA1,0.0673205806516902
HNRNPA1,0.0671546683575504
MAGI2,0.0670407285596009
CCNL1,0.0669292376639117
RBP4,0.0666234827926574
RGS17,0.0663050763582678
IER3IP1,0.066259697693424
PLXNA2,0.0662565598114893
MRPL55,0.0659465203179702
HOXD1,0.0658736006401943
RAPGEF2,0.0657665938375106
DDA1,0.0657468700735164
CHEK2,0.0657263345976914
SETD2,0.0657246877209048
KRT33B,0.0656678234293552
MYD88,0.065555133235775
ZMYND10,0.0655034926368181
DDX60,0.0655013517514372
CHPF,0.0652217888920093
STAT1,0.0651013452130925
ABL2,0.0649579456745394
C11orf58,0.0647548686462054
AFP,0.0646177329180006
TMEM147,0.0645230990763973
KDELR3,0.0644854356292363
PDK4,0.0644444172812302
CSF1,0.0643832040703951
SLX4IP,0.0641157734477723
PTGER4,0.0639082698839613
FUS,0.0636998523126456
C3orf80,0.063592715086282
P4HA2,0.0635463446400294
HIST4H4,0.0634193903187359
FZD4,0.0633608479863409
PALMD,0.0632578115504629
LDHC,0.063211749205333
SH3BGRL3,0.0631350067813949
PSMB9,0.0631282500618336
PUS3,0.0631001141084575
PENK,0.0626584809212265
LIN7A,0.0624714101000061
MRPS18C,0.062461173272231
GNG2,0.0624077332889455
FXYD5,0.062385105118287
TAGLN3,0.0623600145142626
TRIM22,0.0623170543838277
ZNF385A,0.0623106533852132
EXTL1,0.0622183687145232
FLVCR2,0.0621867703806302
NCF1,0.0621867703806286
HSD17B11,0.0621847137193247
FBLN5,0.0621354844191206
LST1,0.0620565408130879
CSTB,0.0620557498721775
MICA,0.0620385674276633
SLC22A1,0.0618941953891841
SCD,0.0618370226493182
RND1,0.0616110650974974
IFI16,0.061595747370114
C11orf96,0.0615469935239897
LUC7L3,0.061448257228524
ARF6,0.061350110149415
FBN2,0.0609806026675923
SAMD9,0.0608181449834384
TEX29,0.0607996618930719
C1QTNF3,0.0607529783529833
RPL10A,0.0606844984065148
CALM1,0.0606166474128866
CTSF,0.0605131465755124
RNPS1,0.0603863971705314
MRPL41,0.060374951736906
PET100,0.0603434618671245
GHITM,0.06026953966215
OTUB1,0.0601908589046831
LENG8,0.0601021248505935
MTUS1,0.059985139683274
GRP,0.0599851396832738
AUP1,0.059930931544444
TNFRSF1A,0.0597824684230656
TOP2B,0.0596986486420372
DST,0.0596458968604166
PNPT1,0.0591781480221352
MED10,0.0591145999878556
SNRPE,0.0589164490375495
SAMHD1,0.0587823465233725
PPIC,0.0585742552941662
GBP4,0.0583527285570255
HOXB8,0.0581925677216777
NDUFB4,0.0581049118776586
PEA15,0.0579452458687694
SNRPF,0.0578803748560052
PNN,0.0578749394809747
HLX,0.0578357789893703
CYP26B1,0.0577440148355005
NR2C2AP,0.0576850031319018
EMP1,0.0575960068080478
SMARCA5,0.0575586987117815
WSB1,0.0575278232865693
ALDH1A2,0.0574232430977434
BIRC3,0.0573950589844904
CHPT1,0.0572637470475725
EIF3F,0.0571470605529662
ZAR1L,0.0568783222722896
SEC61B,0.0566276870008496
SPRY1,0.0565581454015685
NDUFC2,0.0565207502988703
CYGB,0.0564244271655024
CFLAR,0.0562976673016812
LY6E,0.0561671435678456
SGCG,0.0561309214942663
